moves: 50556, loss: 35.60725784301758, accuracy: 0.40625, average_max_q: 9.367195948658628
moves: 50560, loss: 11.223381996154785, accuracy: 0.375, average_max_q: 5.351361725365859
moves: 50564, loss: 1821.1478271484375, accuracy: 0.4375, average_max_q: 2.719669540110044
moves: 50568, loss: 962.2278442382812, accuracy: 0.46875, average_max_q: 10.53929485619301
moves: 50572, loss: 465.55072021484375, accuracy: 0.46875, average_max_q: 9.07898848853074
moves: 50576, loss: 450.4877014160156, accuracy: 0.375, average_max_q: 7.008644503261895
moves: 50580, loss: 1294.868408203125, accuracy: 0.40625, average_max_q: 6.572289593166352
moves: 50584, loss: 428.8268127441406, accuracy: 0.21875, average_max_q: 7.991893683531088
moves: 50588, loss: 836.9520263671875, accuracy: 0.46875, average_max_q: 5.259505045728293
moves: 50592, loss: 463.40118408203125, accuracy: 0.53125, average_max_q: 16.611610489041777
moves: 50596, loss: 856.8233642578125, accuracy: 0.4375, average_max_q: 13.813339287188137
moves: 50600, loss: 1175.635986328125, accuracy: 0.4375, average_max_q: 3.294017320038984
moves: 50604, loss: 400.85540771484375, accuracy: 0.5625, average_max_q: 6.573589794174769
moves: 50608, loss: 390.73333740234375, accuracy: 0.4375, average_max_q: 1.4028967976537388
moves: 50612, loss: 83.568603515625, accuracy: 0.28125, average_max_q: 13.989555618971645
moves: 50616, loss: 830.9627685546875, accuracy: 0.4375, average_max_q: 13.77050764458254
moves: 50620, loss: 924.2889404296875, accuracy: 0.34375, average_max_q: 9.56796745386091
moves: 50624, loss: 1737.428466796875, accuracy: 0.40625, average_max_q: 7.715764908678828
moves: 50628, loss: 1722.0367431640625, accuracy: 0.5, average_max_q: 4.4904511857719625
moves: 50632, loss: 822.0411376953125, accuracy: 0.375, average_max_q: 21.020034441885944
moves: 50636, loss: 1002.23291015625, accuracy: 0.34375, average_max_q: 13.841098356139264
moves: 50640, loss: 1480.438232421875, accuracy: 0.5, average_max_q: 2.7505307481624186
moves: 50644, loss: 448.113037109375, accuracy: 0.34375, average_max_q: 2.792284880299121
moves: 50648, loss: 873.6884765625, accuracy: 0.34375, average_max_q: 6.613875010624179
moves: 50652, loss: 394.81634521484375, accuracy: 0.5625, average_max_q: 2.1942535586887972
moves: 50656, loss: 790.513671875, accuracy: 0.46875, average_max_q: 4.360765820322559
moves: 50660, loss: 386.7383728027344, accuracy: 0.40625, average_max_q: 8.178317007157602
moves: 50664, loss: 932.6843872070312, accuracy: 0.4375, average_max_q: 8.76664869018714
moves: 50668, loss: 1470.1339111328125, accuracy: 0.53125, average_max_q: 18.437833959853744
moves: 50672, loss: 438.2799987792969, accuracy: 0.40625, average_max_q: 2.7041516756260533
moves: 50676, loss: 886.1869506835938, accuracy: 0.5, average_max_q: 4.9658778072102
moves: 50680, loss: 1249.9215087890625, accuracy: 0.53125, average_max_q: 7.235651794643491
moves: 50684, loss: 419.87225341796875, accuracy: 0.5, average_max_q: 8.14306690954836
moves: 50688, loss: 520.7636108398438, accuracy: 0.375, average_max_q: 8.549239365663379
moves: 50692, loss: 1652.47314453125, accuracy: 0.4375, average_max_q: 10.78809435259027
moves: 50696, loss: 867.6781616210938, accuracy: 0.40625, average_max_q: 9.591832438003621
moves: 50700, loss: 840.3699340820312, accuracy: 0.21875, average_max_q: 13.056156144145643
moves: 50704, loss: 207.14239501953125, accuracy: 0.375, average_max_q: 14.884522940991154
moves: 50708, loss: 1221.927978515625, accuracy: 0.46875, average_max_q: 10.11012459051126
moves: 50712, loss: 468.52252197265625, accuracy: 0.3125, average_max_q: 4.975437012605835
moves: 50716, loss: 531.748779296875, accuracy: 0.5625, average_max_q: 9.532720567184152
moves: 50720, loss: 477.6246337890625, accuracy: 0.3125, average_max_q: 3.450094066270685
moves: 50724, loss: 2090.34423828125, accuracy: 0.375, average_max_q: 12.796081139256422
moves: 50728, loss: 1523.3055419921875, accuracy: 0.375, average_max_q: 7.0569655670260545
moves: 50732, loss: 51.497413635253906, accuracy: 0.40625, average_max_q: 9.489230788045095
moves: 50736, loss: 871.1421508789062, accuracy: 0.4375, average_max_q: 2.2425264907065867
moves: 50740, loss: 466.0918273925781, accuracy: 0.375, average_max_q: 1.6164458065584768
moves: 50744, loss: 467.8240966796875, accuracy: 0.4375, average_max_q: 8.105860348828719
moves: 50748, loss: 681.7647705078125, accuracy: 0.46875, average_max_q: 8.339139759568205
moves: 50752, loss: 1314.106201171875, accuracy: 0.46875, average_max_q: 10.849362123094034
moves: 50756, loss: 42.75994110107422, accuracy: 0.375, average_max_q: 8.501861269352958
moves: 50760, loss: 869.7345581054688, accuracy: 0.3125, average_max_q: 13.48893647811492
moves: 50764, loss: 2104.505615234375, accuracy: 0.53125, average_max_q: 9.74717399985093
moves: 50768, loss: 421.9593200683594, accuracy: 0.4375, average_max_q: 2.1805169862444016
moves: 50772, loss: 89.42088317871094, accuracy: 0.3125, average_max_q: 14.208812620762911
moves: 50776, loss: 509.40093994140625, accuracy: 0.34375, average_max_q: 9.739721192818251
moves: 50780, loss: 422.31268310546875, accuracy: 0.5, average_max_q: 4.476145611291576
moves: 50784, loss: 426.0661926269531, accuracy: 0.375, average_max_q: 3.6820226042254944
moves: 50788, loss: 1045.72314453125, accuracy: 0.375, average_max_q: 16.551415396085943
